timestamp_iso,temp_C,hum_aire_pct,rssi_dBm,snr_dB,label
2025-12-02T16:54:59.445938,21.9,44.3,-97.0,8.0,0
2025-12-02T16:55:05.155747,21.9,44.5,-99.0,8.0,0
2025-12-02T16:55:10.866176,21.9,44.6,-98.0,8.0,0
2025-12-02T16:55:16.576215,21.9,44.7,-92.0,9.0,0
2025-12-02T16:55:22.286262,21.7,44.7,-97.0,8.0,0
2025-12-02T16:55:27.996520,21.7,44.8,-95.0,9.0,0
2025-12-02T16:55:33.706574,21.7,44.9,-95.0,8.0,0
2025-12-02T16:55:39.416657,21.7,44.9,-93.0,9.0,0
2025-12-02T16:55:45.125894,21.6,45.0,-103.0,7.0,0
2025-12-02T16:55:50.835874,21.6,45.1,-86.0,8.0,0
2025-12-02T16:55:56.544732,21.6,45.1,-99.0,7.0,0
2025-12-02T16:56:02.253811,21.5,45.2,-87.0,9.0,0
2025-12-02T16:56:07.963517,21.5,45.3,-96.0,8.0,0
2025-12-02T16:56:13.672221,21.5,45.4,-95.0,8.0,0
2025-12-02T16:56:19.381607,21.5,45.4,-100.0,8.0,0
2025-12-02T16:56:25.090563,21.5,45.5,-97.0,8.0,0
2025-12-02T16:56:30.799386,21.5,45.6,-88.0,9.0,0
2025-12-02T16:56:36.508826,21.5,45.6,-94.0,8.0,0
2025-12-02T16:56:42.217882,21.5,45.6,-94.0,8.0,0
2025-12-02T16:56:47.926954,21.5,45.6,-95.0,8.0,0
2025-12-02T16:56:53.636024,21.5,45.6,-91.0,9.0,0
2025-12-02T16:56:59.344927,21.5,45.7,-93.0,9.0,0
2025-12-02T16:57:05.054591,21.5,45.7,-95.0,8.0,0
2025-12-02T16:57:10.763295,21.4,45.8,-100.0,7.0,0
2025-12-02T16:57:16.473710,21.4,45.8,-86.0,9.0,0
2025-12-02T16:57:22.183330,21.4,45.8,-94.0,9.0,0
2025-12-02T16:57:27.893860,21.4,45.8,-93.0,8.0,0
2025-12-02T16:57:33.603848,21.4,45.9,-89.0,9.0,0
2025-12-02T16:57:39.313736,21.4,45.9,-85.0,8.0,0
2025-12-02T16:57:45.024277,21.4,45.9,-105.0,6.0,0
2025-12-02T16:57:50.734254,21.3,46.0,-92.0,9.0,0
2025-12-02T16:57:56.444222,21.3,46.0,-93.0,9.0,0
2025-12-02T16:58:02.154535,21.3,46.1,-90.0,8.0,0
2025-12-02T16:58:07.864623,21.3,46.1,-90.0,8.0,0
2025-12-02T16:58:13.574792,21.3,46.1,-83.0,9.0,0
2025-12-02T16:58:19.284474,21.3,46.1,-86.0,9.0,0
2025-12-02T16:58:30.704193,21.3,46.2,-88.0,9.0,0
2025-12-02T16:58:36.411858,21.3,46.2,-88.0,9.0,0
2025-12-02T16:58:42.121274,21.3,46.2,-85.0,9.0,0
2025-12-02T16:58:47.830634,21.3,46.1,-86.0,9.0,0
2025-12-02T16:58:53.539500,21.3,46.1,-85.0,9.0,0
2025-12-02T16:58:59.248749,21.3,46.1,-92.0,8.0,0
2025-12-02T16:59:04.957760,21.3,46.0,-90.0,9.0,0
2025-12-02T16:59:10.666934,21.3,45.9,-87.0,9.0,0
2025-12-02T16:59:16.376103,21.3,45.9,-86.0,9.0,0
2025-12-02T16:59:22.085128,21.3,45.9,-85.0,9.0,0
2025-12-02T16:59:27.794356,21.3,45.9,-85.0,8.0,0
2025-12-02T16:59:33.503183,21.3,45.9,-90.0,8.0,0
2025-12-02T16:59:39.212558,21.3,45.9,-84.0,9.0,0
2025-12-02T16:59:44.922648,21.3,45.9,-87.0,9.0,0
2025-12-02T16:59:50.632279,21.1,45.9,-90.0,8.0,0
2025-12-02T16:59:56.342855,21.1,46.0,-89.0,8.0,0
2025-12-02T17:00:02.052878,21.1,46.0,-86.0,9.0,0
2025-12-02T17:00:07.763011,21.1,46.0,-86.0,9.0,0
2025-12-02T17:00:13.472990,21.1,46.0,-88.0,9.0,0
2025-12-02T17:00:19.183083,21.1,46.1,-89.0,9.0,0
2025-12-02T17:00:24.893422,21.1,46.1,-88.0,9.0,0
2025-12-02T17:00:30.603702,21.1,46.1,-93.0,8.0,0
2025-12-02T17:00:36.313853,21.1,46.1,-88.0,9.0,0
2025-12-02T17:00:42.023406,21.1,46.2,-90.0,8.0,0
2025-12-02T17:00:47.732910,21.1,46.2,-85.0,9.0,0
2025-12-02T17:00:54.993960,21.1,46.2,-89.0,8.0,0
2025-12-02T17:01:00.703858,21.1,46.3,-87.0,9.0,0
2025-12-02T17:01:06.413238,21.1,46.3,-93.0,8.0,0
2025-12-02T17:01:12.122372,21.1,46.3,-93.0,9.0,0
2025-12-02T17:01:17.831298,21.1,46.3,-99.0,10.0,0
2025-12-02T17:01:23.540658,21.1,46.3,-92.0,9.0,0
2025-12-02T17:01:29.249757,21.1,46.4,-79.0,8.0,0
2025-12-02T17:01:34.958830,21.1,46.4,-79.0,8.0,0
2025-12-02T17:01:40.667963,21.1,46.4,-79.0,9.0,0
2025-12-02T17:01:46.377088,21.1,46.4,-94.0,8.0,0
2025-12-02T17:01:52.086254,21.1,46.5,-87.0,9.0,0
2025-12-02T17:01:57.795320,21.1,46.5,-88.0,8.0,0
2025-12-02T17:02:05.055194,21.1,46.5,-88.0,9.0,0
2025-12-02T17:02:10.765610,21.1,46.5,-85.0,9.0,0
2025-12-02T17:02:16.475666,21.1,46.5,-88.0,9.0,0
2025-12-02T17:02:22.185395,21.1,46.5,-79.0,9.0,0
2025-12-02T17:02:27.895978,21.1,46.6,-77.0,9.0,0
2025-12-02T17:02:33.605841,21.1,46.6,-79.0,9.0,0
2025-12-02T17:02:39.316171,21.1,46.6,-83.0,9.0,0
2025-12-02T17:02:45.026125,21.1,46.6,-82.0,9.0,0
2025-12-02T17:02:50.736516,21.1,46.6,-91.0,9.0,0
2025-12-02T17:02:56.446573,21.1,46.6,-84.0,8.0,0
2025-12-02T17:03:02.156385,21.1,46.7,-84.0,9.0,0
2025-12-02T17:03:07.866777,21.1,46.7,-87.0,9.0,0
2025-12-02T17:03:13.576863,21.1,46.7,-87.0,8.0,0
2025-12-02T17:03:19.286797,21.1,46.7,-86.0,9.0,0
2025-12-02T17:03:24.997073,21.1,46.7,-86.0,9.0,0
2025-12-02T17:03:30.707197,21.1,46.7,-86.0,9.0,0
2025-12-02T17:03:36.416419,21.1,46.7,-87.0,9.0,0
2025-12-02T17:03:42.125214,21.1,46.7,-86.0,9.0,0
2025-12-02T17:03:47.834631,21.1,46.7,-86.0,9.0,0
2025-12-02T17:03:53.543731,21.1,46.6,-83.0,9.0,0
2025-12-02T17:03:59.252632,21.1,46.6,-102.0,6.0,0
2025-12-02T17:04:04.961880,21.1,46.6,-85.0,9.0,0
2025-12-02T17:04:10.670873,21.1,46.6,-82.0,9.0,0
2025-12-02T17:04:16.380377,21.1,46.7,-83.0,9.0,0
2025-12-02T17:04:22.088896,21.1,46.7,-82.0,9.0,0
2025-12-02T17:04:27.798898,21.1,46.7,-84.0,9.0,0
2025-12-02T17:04:33.507410,21.1,46.8,-85.0,9.0,0
2025-12-02T17:04:39.217403,21.1,46.8,-83.0,9.0,0
2025-12-02T17:04:44.927534,21.1,46.8,-84.0,8.0,0
2025-12-02T17:04:50.638024,21.1,46.9,-110.0,5.0,0
2025-12-02T17:04:56.347798,21.1,46.9,-82.0,9.0,0
2025-12-02T17:05:02.058088,21.1,46.9,-84.0,9.0,0
2025-12-02T17:05:07.767887,21.1,47.0,-88.0,9.0,0
2025-12-02T17:05:13.478003,21.1,47.0,-81.0,9.0,0
2025-12-02T17:05:19.188235,21.1,47.0,-87.0,9.0,0
2025-12-02T17:05:24.898660,21.1,47.0,-84.0,8.0,0
2025-12-02T17:05:30.608432,21.1,47.0,-87.0,9.0,0
2025-12-02T17:05:36.318779,21.1,47.1,-88.0,9.0,0
2025-12-02T17:05:42.027878,21.0,47.1,-86.0,8.0,0
2025-12-02T17:05:47.736872,21.0,47.1,-86.0,9.0,0
2025-12-02T17:05:53.446033,21.0,47.2,-80.0,9.0,0
2025-12-02T17:05:59.155299,21.0,47.2,-79.0,9.0,0
2025-12-02T17:06:04.864328,21.0,47.2,-79.0,9.0,0
2025-12-02T17:06:10.573440,21.0,47.2,-79.0,9.0,0
2025-12-02T17:06:16.282377,21.0,47.2,-83.0,9.0,0
2025-12-02T17:06:21.991541,21.0,47.3,-84.0,9.0,0
2025-12-02T17:06:27.700526,21.1,47.3,-85.0,9.0,0
2025-12-02T17:06:33.409925,21.1,47.3,-82.0,9.0,0
2025-12-02T17:06:39.118770,21.0,47.3,-79.0,9.0,0
2025-12-02T17:06:44.828358,21.0,47.3,-80.0,9.0,0
2025-12-02T17:06:50.537519,21.0,47.3,-85.0,9.0,0
2025-12-02T17:06:57.798482,21.0,47.3,-80.0,9.0,0
2025-12-02T17:07:03.508632,21.0,47.3,-85.0,9.0,0
2025-12-02T17:07:09.218483,21.0,47.3,-85.0,9.0,0
2025-12-02T17:07:14.928780,21.0,47.3,-85.0,9.0,0
2025-12-02T17:07:20.638892,21.0,47.4,-78.0,8.0,0
2025-12-02T17:07:26.349013,21.0,47.4,-91.0,9.0,0
2025-12-02T17:07:32.059130,20.9,47.7,-87.0,9.0,0
2025-12-02T17:07:37.768974,20.9,47.7,-90.0,9.0,0
2025-12-02T17:07:43.479369,20.9,47.7,-86.0,9.0,0
2025-12-02T17:07:49.189252,20.9,47.7,-88.0,9.0,0
2025-12-02T17:07:54.899591,20.9,47.8,-91.0,9.0,0
2025-12-02T17:08:00.609407,20.9,47.8,-89.0,9.0,0
2025-12-02T17:08:06.319650,20.9,47.8,-88.0,9.0,0
2025-12-02T17:08:12.029949,20.9,47.9,-106.0,7.0,0
2025-12-02T17:08:17.740100,20.9,47.9,-89.0,9.0,0
2025-12-02T17:08:23.450186,20.9,47.9,-84.0,9.0,0
2025-12-02T17:08:29.159388,20.9,48.0,-82.0,9.0,0
2025-12-02T17:08:34.868220,20.9,48.0,-82.0,9.0,0
2025-12-02T17:08:40.577569,20.9,48.0,-95.0,9.0,0
2025-12-02T17:08:46.286599,20.9,48.0,-97.0,9.0,0
2025-12-02T17:08:51.995600,20.9,48.0,-99.0,8.0,0
2025-12-02T17:08:57.704840,20.9,48.0,-89.0,9.0,0
2025-12-02T17:09:03.413959,20.9,48.0,-91.0,8.0,0
2025-12-02T17:09:09.123569,20.9,48.0,-101.0,8.0,0
2025-12-02T17:09:14.832437,20.9,48.0,-87.0,9.0,0
2025-12-02T17:09:20.541502,20.9,48.0,-89.0,8.0,0
2025-12-02T17:09:26.250650,20.9,47.9,-87.0,9.0,0
2025-12-02T17:09:31.960678,20.9,47.9,-82.0,9.0,0
2025-12-02T17:09:37.670760,20.9,47.9,-92.0,9.0,0
2025-12-02T17:09:43.380934,20.9,47.9,-74.0,9.0,0
2025-12-02T17:09:49.090967,20.9,47.9,-89.0,9.0,0
2025-12-02T17:09:54.800816,20.9,47.9,-89.0,9.0,0
2025-12-02T17:10:00.511283,20.9,48.0,-91.0,9.0,0
2025-12-02T17:10:06.221479,20.9,48.0,-96.0,9.0,0
2025-12-02T17:10:11.931454,20.9,48.0,-91.0,9.0,0
2025-12-02T17:10:17.640770,20.9,48.0,-90.0,9.0,0
2025-12-02T17:10:23.349710,20.9,48.0,-90.0,9.0,0
2025-12-02T17:10:29.058781,20.9,48.0,-85.0,8.0,0
2025-12-02T17:10:34.767676,20.9,48.1,-88.0,9.0,0
2025-12-02T17:10:40.477154,20.9,48.1,-90.0,11.0,0
2025-12-02T17:10:46.186238,20.9,48.2,-89.0,11.0,0
2025-12-02T17:10:51.894956,20.9,48.2,-88.0,9.0,0
2025-12-02T17:10:57.604370,20.9,48.2,-88.0,9.0,0
2025-12-02T17:11:03.313582,20.9,48.2,-90.0,9.0,0
2025-12-02T17:11:09.022604,20.9,48.2,-89.0,9.0,0
2025-12-02T17:11:14.731404,20.9,48.2,-90.0,8.0,0
2025-12-02T17:11:20.440867,20.9,48.2,-89.0,9.0,0
2025-12-02T17:11:26.149953,20.9,48.2,-90.0,9.0,0
2025-12-02T17:11:31.859103,20.9,48.2,-89.0,8.0,0
2025-12-02T17:11:37.568268,20.9,48.2,-88.0,9.0,0
2025-12-02T17:11:43.277271,20.9,48.2,-89.0,8.0,0
2025-12-02T17:11:48.986487,20.9,48.2,-88.0,9.0,0
2025-12-02T17:11:54.696715,20.9,48.2,-90.0,9.0,0
